"iso3","year","cow_code","country_name","variable","regime"
"AGO",1882,540,"Angola","v2x_regime_amb_interpol",0
"ALB",1882,339,"Albania","v2x_regime_amb_interpol",0
"ARE",1882,696,"United Arab Emirates","v2x_regime_amb_interpol",0
"ARG",1882,160,"Argentina","v2x_regime_amb_interpol",0
"ARM",1882,371,"Armenia","v2x_regime_amb_interpol",0
"AUS",1882,900,"Australia","v2x_regime_amb_interpol",0
"AUT",1882,305,"Austria","v2x_regime_amb_interpol",0
"AZE",1882,373,"Azerbaijan","v2x_regime_amb_interpol",0
"BDI",1882,516,"Burundi","v2x_regime_amb_interpol",0
"BEL",1882,211,"Belgium","v2x_regime_amb_interpol",8
"BEN",1882,434,"Benin","v2x_regime_amb_interpol",0
"BFA",1882,439,"Burkina Faso","v2x_regime_amb_interpol",0
"BGD",1882,771,"Bangladesh","v2x_regime_amb_interpol",0
"BGR",1882,355,"Bulgaria","v2x_regime_amb_interpol",0
"BHR",1882,692,"Bahrain","v2x_regime_amb_interpol",0
"BIH",1882,346,"Bosnia and Herzegovina","v2x_regime_amb_interpol",0
"BLR",1882,370,"Belarus","v2x_regime_amb_interpol",0
"BOL",1882,145,"Bolivia","v2x_regime_amb_interpol",3
"BRA",1882,140,"Brazil","v2x_regime_amb_interpol",0
"BTN",1882,760,"Bhutan","v2x_regime_amb_interpol",0
"BWA",1882,571,"Botswana","v2x_regime_amb_interpol",0
"CAF",1882,482,"Central African Republic","v2x_regime_amb_interpol",0
"CAN",1882,20,"Canada","v2x_regime_amb_interpol",4
"CHE",1882,225,"Switzerland","v2x_regime_amb_interpol",0
"CHL",1882,155,"Chile","v2x_regime_amb_interpol",1
"CHN",1882,710,"China","v2x_regime_amb_interpol",0
"CIV",1882,437,"Ivory Coast","v2x_regime_amb_interpol",0
"CMR",1882,471,"Cameroon","v2x_regime_amb_interpol",3
"COD",1882,490,"Democratic Republic of the Congo","v2x_regime_amb_interpol",0
"COG",1882,484,"Republic of the Congo","v2x_regime_amb_interpol",0
"COL",1882,100,"Colombia","v2x_regime_amb_interpol",0
"COM",1882,581,"Comoros","v2x_regime_amb_interpol",0
"CPV",1882,402,"Cape Verde","v2x_regime_amb_interpol",0
"CRI",1882,94,"Costa Rica","v2x_regime_amb_interpol",0
"CUB",1882,40,"Cuba","v2x_regime_amb_interpol",0
"CYP",1882,352,"Cyprus","v2x_regime_amb_interpol",0
"CZE",1882,316,"Czech Republic","v2x_regime_amb_interpol",0
"DEU",1882,255,"Germany","v2x_regime_amb_interpol",0
"DJI",1882,522,"Djibouti","v2x_regime_amb_interpol",0
"DNK",1882,390,"Denmark","v2x_regime_amb_interpol",0
"DOM",1882,42,"Dominican Republic","v2x_regime_amb_interpol",0
"DZA",1882,615,"Algeria","v2x_regime_amb_interpol",0
"ECU",1882,130,"Ecuador","v2x_regime_amb_interpol",0
"EGY",1882,651,"Egypt","v2x_regime_amb_interpol",0
"ESP",1882,230,"Spain","v2x_regime_amb_interpol",0
"EST",1882,366,"Estonia","v2x_regime_amb_interpol",0
"ETH",1882,530,"Ethiopia","v2x_regime_amb_interpol",0
"FIN",1882,375,"Finland","v2x_regime_amb_interpol",0
"FJI",1882,950,"Fiji","v2x_regime_amb_interpol",0
"FRA",1882,220,"France","v2x_regime_amb_interpol",0
"GAB",1882,481,"Gabon","v2x_regime_amb_interpol",0
"GBR",1882,200,"United Kingdom","v2x_regime_amb_interpol",4
"GEO",1882,372,"Georgia","v2x_regime_amb_interpol",0
"GHA",1882,452,"Ghana","v2x_regime_amb_interpol",0
"GIN",1882,438,"Guinea","v2x_regime_amb_interpol",0
"GMB",1882,420,"The Gambia","v2x_regime_amb_interpol",0
"GNB",1882,404,"Guinea-Bissau","v2x_regime_amb_interpol",0
"GNQ",1882,411,"Equatorial Guinea","v2x_regime_amb_interpol",0
"GRC",1882,350,"Greece","v2x_regime_amb_interpol",0
"GTM",1882,90,"Guatemala","v2x_regime_amb_interpol",0
"GUY",1882,110,"Guyana","v2x_regime_amb_interpol",0
"HND",1882,91,"Honduras","v2x_regime_amb_interpol",0
